id;ma_kich_ban;ma_thiet_bi;loai_thiet_bi;day_chuyen;ma_san_pham;version_san_pham;ngay_tao;time_update;update_by;trang_thai
1;concept AGP Mountains;real-time Summit Spring;vortals transmitting;Squares Analyst foreground;Licensed;ubiquitous;2023-10-09T22:21:32;2023-10-09T15:05:42;Montana;Cambridgeshire well-modulated Hawaii
2;Litas Pennsylvania;Shoes transmit;parse Clothing;secondary Planner;reinvent radical synthesizing;Self-enabling Account;2023-10-10T00:15:06;2023-10-09T23:56:23;Chair implementation FTP;Falls
3;Analyst tan blue;Trail;purple Dynamic core;Electronics magnetic Configuration;Analyst Account implementation;array Missouri intranet;2023-10-09T10:39:33;2023-10-09T20:02:55;parsing challenge;Automotive Gloves Dynamic
4;Assurance;Optimization withdrawal firewall;Games Turnpike;Isle Industrial;Loan;Security Towels white;2023-10-09T16:45:29;2023-10-10T00:27:42;Awesome;Zloty
5;Centers Integrated;Georgia;ROI Cambridgeshire Account;optical connecting;synergistic recontextualize Ecuador;cross-platform Division;2023-10-10T05:58:42;2023-10-09T07:14:14;circuit GB;Regional
6;Fresh;Wooden Ball Vermont;circuit Algerian;Wooden needs-based intangible;Rustic Bedfordshire driver;ADP neural Branding;2023-10-09T08:19:43;2023-10-09T17:27:16;dedicated Administrator Car;Fantastic bus global
7;Supervisor index SSL;impactful;Hryvnia Generic yellow;Buckinghamshire Games Illinois;connect;Computers Bangladesh;2023-10-09T18:30:41;2023-10-09T18:24:20;Pizza Accountability Soft;Croatian
8;Granite Incredible Accounts;withdrawal Soft;bluetooth Hat;Configuration Legacy;user-centric indexing tangible;Product bus;2023-10-09T13:48:49;2023-10-09T23:35:29;Bedfordshire;index
9;program Buckinghamshire Profound;state scalable;Park Handcrafted Shirt;Dollar;optical one-to-one Mississippi;Peso;2023-10-10T05:37:34;2023-10-09T14:23:01;capacitor Bacon;revolutionize calculate solutions
10;Savings e-commerce;Industrial;open-source;deposit;JBOD;digital solution;2023-10-10T03:03:25;2023-10-10T03:16:44;GB;Mexico
