id;ma_thiet_bi;loai_thiet_bi;day_chuyen;ngay_tao;time_update;update_by;trang_thai
1;Intranet relationships Savings;Accountability extend Small;Dynamic connecting didactic;2023-10-09T14:10:06;2023-10-09T23:43:01;workforce;Frozen reintermediate
2;payment Accounts;Ohio;applications Handcrafted application;2023-10-09T06:19:34;2023-10-09T16:56:18;Buckinghamshire capacity;Liaison back
3;Supervisor;payment Pizza;Awesome;2023-10-10T00:57:53;2023-10-09T13:21:19;Station;Account Jordanian Green
4;Shores;brand Palladium copying;utilisation Small application;2023-10-10T01:09:52;2023-10-09T07:07:42;synthesizing;mesh black distributed
5;compress;area;Liechtenstein generating;2023-10-09T22:12:30;2023-10-09T17:10:03;Monaco sensor Toys;Small virtual
6;testing;redundant Awesome;Rial;2023-10-09T10:16:09;2023-10-10T04:46:04;syndicate Profit-focused;Koruna Borders lime
7;Greenland;Gourde;navigate Shores quantifying;2023-10-10T00:24:31;2023-10-09T21:24:19;Bacon;feed
8;encryption Customer visualize;Salad bandwidth;Zimbabwe Fundamental Car;2023-10-09T10:20:41;2023-10-09T12:39:50;York open-source Zimbabwe;infrastructure Account Interface
9;XSS Computers Rustic;Account;distributed Avon;2023-10-09T23:22:03;2023-10-09T22:04:18;Coordinator California;Awesome
10;driver Brand;Producer View National;Flats COM;2023-10-09T10:09:36;2023-10-10T01:43:15;Strategist parallelism Chips;Avon Colorado
