id;reel_id;part_number;vendor;lot;user_data_1;user_data_2;user_data_3;user_data_4;user_data_5;initial_quantity;msd_level;msd_initial_floor_time;msd_bag_seal_date;market_usage;quantity_override;shelf_time;sp_material_name;warning_limit;maximum_limit;comments;warmup_time;storage_unit;sub_storage_unit;location_override;expiration_date;manufacturing_date;part_class;sap_code
1;88378;Steel Avon;help-desk;content Metal;Practical primary transmitter;Loan Tennessee Mountains;Programmable;49476;52266;51380;Licensed Rustic;Robust ubiquitous Legacy;Connecticut;Dakota salmon Avon;45354;Borders Dam;Cotton;bus Plastic copying;Senior convergence;matrix;2023-10-09T18:01:41;matrix Small;value-added Representative;Mexico;Facilitator Granite Bedfordshire;Account Reunion system;Advanced;21702
2;68253;Jewelery Clothing Lock;Consultant;Dynamic;feed Awesome;haptic;white redundant;66127;90367;88031;Chicken radical Balboa;array;Metal Sol;Computer disintermediate;64136;productize array Sharable;Division optimal;granular;Louisiana Iowa;state;2023-10-09T21:33:29;back-end SMTP sky;mindshare well-modulated;technologies Practical;Optimized Awesome multi-state;integrate paradigms best-of-breed;Republic Account action-items;29071
3;33337;Barbados indigo;Tuna;Towels indexing convergence;Planner Director object-oriented;pink;Handcrafted SCSI Web;8837;49971;45078;Extended Up-sized;District Viaduct;Garden;technologies calculating array;57558;Gorgeous Fresh;capability;copying Designer;Alabama Organized Prairie;reboot maroon;2023-10-09T20:29:35;virtual discrete;auxiliary Account;Louisiana Object-based bandwidth;Awesome Mobility;transmit Senior;paradigms Ohio networks;84059
4;21674;River deploy platforms;synthesizing bypass;Tasty;array;Jewelery;Future group bluetooth;2198;19896;74996;payment parse sexy;Gorgeous card impactful;engage bluetooth;Lira;89278;Clothing AGP Legacy;Namibia Home;monetize Rustic Home;productize;Moldovan;2023-10-09T21:58:34;Pizza Quality Customer;Handcrafted;Synergistic strategy;CSS Incredible service-desk;bypass Ball interface;Keyboard Ohio cross-platform;99233
5;20754;International;compress Ball Avon;Israeli Shirt Factors;maroon;blue;enterprise;25597;89858;82530;contingency;feed hack;Investment standardization impactful;SAS;56399;Ford Customer Bedfordshire;Cheese Cloned ability;Concrete program;Morocco;multi-byte proactive Kids;2023-10-09T14:15:37;Dale transparent Front-line;Rustic Nebraska;Dynamic Hat Operative;Massachusetts lime;magenta;Islands;82670
6;23468;Maine;Crest Towels;iterate Kids virtual;technologies multi-byte;Sausages;lavender;3266;66319;48741;synergistic;Wisconsin azure Music;FTP Throughway Dobra;Cotton Account;7015;Industrial optimize;Corporate Arabia Forward;neural Implementation markets;interface IB;grey Associate;2023-10-10T05:20:23;Missouri haptic exploit;hacking Devolved;Trail pixel;Global infrastructures;cutting-edge;Refined web;69645
7;52387;multi-byte;iterate architect;teal Jewelery;Identity Awesome Money;web-readiness;dynamic Spur Isle;66937;7912;23180;Massachusetts Berkshire;Account Principal;Savings array olive;Handmade Account Generic;13237;Hat static;overriding;online Granite;microchip Soap Cambridgeshire;Steel;2023-10-10T05:17:20;Mouse;Rubber;Louisiana Avon bluetooth;Liaison application;Cotton;Practical Table Ohio;34657
8;15290;Sleek payment extensible;motivating;deposit;Small;Executive supply-chains Director;scale tolerance Cloned;45778;89710;25584;Hampshire;auxiliary;Iowa transmit;Granite;20354;generating withdrawal;Metal;Towels Refined;optical withdrawal port;California;2023-10-09T13:00:14;application teal asynchronous;Engineer overriding;hard;algorithm dynamic Roads;Garden;Lempira;90508
9;56886;dynamic;Up-sized Networked Dam;matrix;Computer Configurable Quality-focused;global;engineer application;95397;31498;52004;compressing;Manager software Engineer;circuit mindshare;cross-platform mission-critical eyeballs;73749;Savings blockchains;Personal Granite hacking;up;Planner;Checking communities integrate;2023-10-10T04:29:45;haptic multimedia;plug-and-play;Account bleeding-edge overriding;synergies;visualize;Liaison;94047
10;3988;Direct;Public-key optimize;generate pink orchid;Soft;Coves Product Designer;orchid;23425;84932;22209;Maine initiative calculating;Games GB system;Planner Baby Computers;generating calculate;83326;extensible payment;Home;Account;Buckinghamshire;Unbranded;2023-10-09T16:41:15;Granite National cultivate;extend azure SAS;Borders;robust Bike Consultant;lime payment Licensed;deposit bifurcated;66474
