id;ma_thong_so;ten_thong_so;mo_ta;ngay_tao;ngay_update;update_by;status
1;Shirt FTP Account;disintermediate;Fish Fresh;2023-10-09T09:44:29;2023-10-09T13:37:46;Pants;intermediate
2;Shirt Director tan;Kip Berkshire turquoise;Refined;2023-10-09T18:53:40;2023-10-09T20:27:49;Product Buckinghamshire Functionality;Lats yellow
3;algorithm matrix;deposit connect withdrawal;Jewelery;2023-10-10T00:45:39;2023-10-10T03:53:42;Assistant bluetooth up;SQL circuit
4;incremental quantifying end-to-end;Mobility Tuvalu;Practical Dynamic;2023-10-10T05:12:07;2023-10-09T10:53:31;deposit;engage deposit Ethiopian
5;auxiliary THX;Buckinghamshire;Massachusetts Buckinghamshire;2023-10-10T00:07:27;2023-10-09T14:45:15;collaboration robust;program functionalities
6;blue;Tactics;Architect multi-byte Quality;2023-10-09T14:22:59;2023-10-09T07:28:32;next-generation Rubber;Sausages
7;transmitting;partnerships back-end Sharable;methodologies;2023-10-10T04:19:50;2023-10-09T22:14:31;Via up Qatari;navigating violet Rubber
8;multi-byte Avon;Fantastic;Handmade feed SDD;2023-10-09T16:51:47;2023-10-09T08:04:18;bus recontextualize;National
9;system even-keeled Assurance;secondary;Concrete panel markets;2023-10-09T06:38:19;2023-10-09T10:40:55;Direct deposit invoice;Bedfordshire Lakes Granite
10;bandwidth;Legacy deposit Account;Aruban protocol generation;2023-10-09T12:01:22;2023-10-09T09:39:59;Bedfordshire state frame;Fish Dynamic Wooden
