id;ma_kich_ban;ma_thiet_bi;loai_thiet_bi;day_chuyen;ma_san_pham;version_san_pham;ngay_tao;time_update;trang_thai
1;Granite Fresh Shoes;Bhutanese Villages;Lilangeni;Internal platforms;matrix Republic Bedfordshire;CSS Quality;2023-10-09T19:09:01;2023-10-10T00:44:25;reciprocal Tasty
2;Optimization;synthesize Park;paradigms open-source New;protocol granular;Beauty Forward;incentivize Account Account;2023-10-09T18:42:54;2023-10-09T17:38:16;Michigan
3;Checking;bus infomediaries vortals;Consultant Web Plastic;Armenia;engage Wyoming AGP;bus Nuevo;2023-10-10T05:43:34;2023-10-09T09:51:39;Cambridgeshire Fresh
4;infomediaries;Cotton;Health Soft;Metal Representative;Borders;infrastructure Technician;2023-10-10T04:09:30;2023-10-10T02:06:47;SAS Market
5;Lakes;connect;Director;Operative connect;input secured Wooden;backing user-centric backing;2023-10-10T01:20:46;2023-10-09T13:36:16;Account
6;FTP payment orange;Awesome;Granite;withdrawal visionary;Small;function Trafficway;2023-10-09T06:35:31;2023-10-10T05:57:49;back Florida
7;Account expedite Cheese;card bandwidth-monitored up;Center Cambridgeshire;Optional front-end bluetooth;Bulgarian Ergonomic e-commerce;Jersey Minnesota;2023-10-09T11:18:07;2023-10-09T11:07:02;Arkansas Rustic
8;Designer;azure Sleek innovative;cross-platform Table Outdoors;up;PNG Ramp Polarised;Coordinator;2023-10-09T22:44:49;2023-10-09T19:47:47;needs-based
9;indexing Assurance;primary Checking;Ghana payment;Dynamic;Berkshire;dot-com Games turquoise;2023-10-09T18:57:24;2023-10-09T19:06:12;payment Pizza white
10;Frozen;Quality extensible didactic;Granite hacking Metal;Fish;Checking quantify;payment payment overriding;2023-10-10T03:46:33;2023-10-09T21:26:01;Integration SMTP Borders
