id;ma_lenh_san_xuat;entry_time;status;comment
1;8445;deliverables Executive;Optional synthesizing;bandwidth firewall Steel
2;9776;override Soap;Shirt enhance metrics;deploy Table
3;38906;Rapid;Credit;Mexico Intelligent cross-platform
4;81284;Cotton;program Interactions cross-platform;generating
5;64630;transmitting;responsive;Handcrafted Profound
6;348;Granite;Liaison synergy;enterprise optical Borders
7;96703;Curve;Cambridgeshire Soap;Islands
8;95862;bleeding-edge Computers;upward-trending Robust;integrated
9;13878;benchmark;Herzegovina;Plastic
10;3352;radical;Electronics;Wooden XML Producer
